id,uid,date,message,sender,recipient,sentiment,attachment
1,1,2022-3-2 11:38:34,here Henrich messages of to,Aaden@ussf.mil,Mateo@gmail.com,-0.84,true
2,1,2022-1-10 14:19:45,hacked! here recover here was We bad,Aaden@ussf.mil,Roger@hotmail.com,-0.25,false
3,2,2022-2-21 6:12:23,email is to and Dr. win big,Oscar@ussf.mil,Elige@outlook.com,0.99,false
4,2,2022-3-26 10:24:19,of Ipsum to best fans bad Your,Oscar@ussf.mil,Yancy@hotmail.com,-0.93,false
5,3,2022-2-5 7:48:56,Click https://win.com here is to,Aarav@ussf.mil,Ollie@gmail.com,-0.47,false
6,4,2022-1-23 20:23:40,to the big of was Ipsum,Aaron@ussf.mil,Randy@ussf.mil,0.19,false
7,5,2022-2-10 9:19:56,a best here Oscar Nate is,Aayan@ussf.mil,Kanye@aol.com,0.09,false
8,5,2022-3-23 6:14:49,here Your are was win,Aayan@ussf.mil,Issac@gmail.com,-0.55,false
9,6,2022-2-21 10:23:49,bad Nate recover email https://win.com a,Abbie@ussf.mil,Almon@outlook.com,0.29,false
10,7,2022-2-27 12:28:15,a to Ipsum and bad,Abdul@ussf.mil,Waldo@yahoo.com,-0.94,false
11,7,2022-3-27 14:2:57,We bad is Ipsum of to,Abdul@ussf.mil,Neely@ussf.mil,0.75,false
12,7,2022-2-10 12:51:44,and to Your fans We,Abdul@ussf.mil,Kason@aol.com,0.92,false
13,7,2022-3-2 20:49:54,and best here hacked! to Lorem,Abdul@ussf.mil,Pleas@hotmail.com,-0.24,false
14,8,2022-2-20 4:28:37,the here big is example We Click,Abner@ussf.mil,Marty@gmail.com,-0.95,false
15,9,2022-1-22 9:0:3,here bad fans recover We Henrich Nate email,Abram@ussf.mil,Judah@aol.com,-0.87,false
16,10,2022-3-25 0:16:23,recover of to messages bad Lorem,Adams@ussf.mil,Lloyd@ussf.mil,-0.26,false
17,10,2022-3-6 17:50:9,of win jackpot! it: https://win.com recover Ipsum a,Adams@ussf.mil,Aayan@ussf.mil,0.36,false
18,11,2022-3-19 8:39:20,hacked! of recover to here,Addie@ussf.mil,Jules@ussf.mil,0.91,false
19,11,2022-2-19 0:49:52,jackpot! Oscar it: bad hacked! a,Addie@ussf.mil,Boyce@aol.com,-0.49,false
20,11,2022-2-4 1:57:21,and a Click are the is Nate,Addie@ussf.mil,Pedro@outlook.com,-0.98,false
21,11,2022-1-7 17:30:12,Click best and the here Your,Addie@ussf.mil,Alcee@gmail.com,0.29,false
22,11,2022-1-17 23:58:29,Click and Click bad We best https://evil.com is,Addie@ussf.mil,Quinn@gmail.com,-0.27,false
23,11,2022-3-17 17:16:2,here a jackpot! big is bad it: email,Addie@ussf.mil,Chace@ussf.mil,0.68,true
24,12,2022-3-18 21:20:22,Your win here a Lorem to,Adlai@ussf.mil,Delos@gmail.com,0.6,false
25,12,2022-2-3 2:35:34,We are the big email win here,Adlai@ussf.mil,Harve@outlook.com,-0.35,false
26,12,2022-2-9 7:49:56,was example of to https://win.com big,Adlai@ussf.mil,Aydan@gmail.com,-0.28,false
27,12,2022-2-18 22:28:32,messages is Click was here win to,Adlai@ussf.mil,Alden@yahoo.com,0.34,false
28,13,2022-1-25 12:11:0,bad example of best Your,Adolf@ussf.mil,Adron@gmail.com,0.46,false
29,14,2022-1-22 4:58:54,Dr. Lorem is Click Oscar Nate Click,Adron@ussf.mil,Addie@ussf.mil,0.51,false
30,15,2022-1-16 16:45:55,bad is are recover was Click,Aedan@ussf.mil,Amias@aol.com,0.84,false
31,15,2022-3-8 19:2:53,here fans of recover Nate,Aedan@ussf.mil,Ronin@ussf.mil,0.07,false
32,16,2022-3-25 23:27:32,was hacked! best fans bad here Oscar and,Agnes@ussf.mil,Arvil@ussf.mil,-0.77,false
33,17,2022-3-11 5:21:48,We was recover Nate Your big is messages,Ahmad@ussf.mil,Sandy@gmail.com,-0.15,false
